State,Title,Description,Type
TX,Clean Vehicle and Infrastructure Grants,"The Texas Commission on Environmental Quality (TCEQ) administers the Emissions Reduction Incentive Grants (ERIG) Program and Rebate Grants Program as part of the Texas Emissions Reduction Plan (TERP). The ERIG Program provides grants for various types of clean air projects to improve air quality in the state's nonattainment areas and other affected counties. Eligible projects include those that involve replacement, retrofit, repower, or lease or purchase of new heavy-duty vehicles; alternative fuel dispensing infrastructure; idle reduction and electrification infrastructure; and alternative fuel use. The Rebate Grants Program provides grants to upgrade or replace diesel heavy-duty vehicles and non-road equipment. Qualifying projects must reduce emissions of nitrogen oxides or other pollutants by at least 25% as compared to baseline levels and must meet operational and fuel usage requirements. For more information, including eligibility and the application form, see the TCEQ <a href=""https://www.tceq.texas.gov/airquality/terp"">TERP</a> website. (Reference <a href=""http://www.statutes.legis.state.tx.us/"">Texas Statutes</a> Health and Safety Code 386 and <a href=""http://www.sos.state.tx.us/tac/index.shtml"">Texas Administrative Code</a> 114.620-114.629)",State Incentives
OR,Pollution Control Equipment Exemption,"Dedicated original equipment manufacturer natural gas vehicles and all-electric vehicles are not required to be equipped with a certified pollution control system. (Reference <a href=""https://www.oregonlegislature.gov/"">Oregon Revised Statutes</a> 815.300)",State Incentives
WI,Alternative Fuel Tax Exemption,"A county, city, village, town, or other political subdivision may not levy or collect any excise, license, privilege, or occupational tax on motor vehicle fuel, alternative fuels, or the purchase, sale, handling, or consumption of motor vehicle fuel or alternative fuels. (Reference <a href=""http://legis.wisconsin.gov/rsb/stats.html"">Wisconsin Statutes</a> 78.82)",State Incentives
OH,Alternative Fuel Vehicle Conversion,"It is unlawful to tamper with vehicle emissions control systems unless the action is for the purpose of converting a motor vehicle to operate on an alternative fuel and is in compliance with the standards adopted under the Clean Air Act Amendments. (Reference <a href=""http://codes.ohio.gov/orc/"">Ohio Revised Code</a> 3704.16-3704.162)",Laws and Regulations
CA,High Occupancy Vehicle (HOV) and High Occupancy Toll (HOT) Lane Exemption,"Compressed natural gas, hydrogen, electric, and plug-in hybrid electric vehicles meeting specified California and federal emissions standards and affixed with a California Department of Motor Vehicles (DMV) Clean Air Vehicle sticker may use HOV lanes regardless of the number of occupants in the vehicle. DMV issues Red Clean Air Vehicle stickers to applicants that have not already been issued a White or Green Clean Air Vehicle sticker, with the exception of the instances mentioned below. Stickers are valid through the following dates:<ul><li>Stickers issued before March 1, 2018, or for Model Year 2004 or earlier vehicles, regardless of the issue date, expired January 1, 2019;<li>Stickers issued between March 1, 2018, and January 1, 2019, expire January 1, 2022;<li>Stickers issued on or after March 1, 2018, for a vehicle that had previously been issued a sticker between January 1, 2017, and March 1, 2018, expire January 1, 2022; and<li>Stickers issued on or after January 1, 2019, expire January 1, 2023.</ul>DMV may issue stickers on or after January 1, 2020, only for applicants that have a household income at or below 80% of the state median income, which will expire January 1, 2024. The California Department of Transportation must publish a report between January 1, 2023, and June 1, 2023, detailing the number of stickers issued under this program.<p></p>Vehicles with stickers are also eligible for reduced rates on or exemptions from toll charges imposed on HOT lanes. For more information and restrictions, including a list of qualifying vehicles, see the California Air Resources Board <a href=""http://www.arb.ca.gov/msprog/carpool/carpool.htm"">Carpool Stickers</a> website.<p></p>(Reference <a href=""http://www.oal.ca.gov/"">California Vehicle Code</a> 5205.5 and 21655.9)",State Incentives
AZ,Alternative Fuel Vehicle (AFV) Parking Incentive,"An individual driving a dedicated AFV may park without penalty in parking areas that are designated for carpool operators, provided the vehicle is using alternative fuel. Recognized alternative fuels include propane, natural gas, electricity, hydrogen, and a blend of hydrogen with propane or natural gas. (Reference <a href=""http://www.azleg.gov/ArizonaRevisedStatutes.asp"">Arizona Revised Statutes</a> 28-877)",State Incentives
MI,Alternative Fuel Vehicle (AFV) Emissions Inspection Exemption,"Dedicated AFVs powered by compressed natural gas, propane, electricity, or any other source as defined by the Michigan Department of Transportation are exempt from emissions inspection requirements. (Reference <a href=""http://www.legislature.mi.gov/(S(d1yq0h4534qach5500tlbh55))/mileg.aspx?page=home"">Michigan Compiled Laws</a> 324.6311 and 324.6512)",State Incentives
IA,Alternative Fuel Vehicle (AFV) Conversion Registration,"When a motor vehicle is modified to use a different fuel type or more than one type of fuel, the vehicle's registered owner must notify the county treasurer of the new fuel type or alternative fuel types within 30 days. If the vehicle is able to use a special fuel, the county treasurer will issue a special fuel identification sticker. (Reference <a href=""https://www.legis.iowa.gov/index.aspx"">Iowa Code</a> 321.41)",Laws and Regulations
AZ,Electric Vehicle (EV) Parking Space Regulation,"An individual is not allowed to stop, stand, or park a motor vehicle within any parking space specifically designated for parking and charging EVs unless the motor vehicle is an EV and has been issued an alternative fuel vehicle special plate or sticker. Violators may be subject to a civil penalty of at least $350. (Reference <a href=""http://www.azleg.gov/ArizonaRevisedStatutes.asp"">Arizona Revised Statutes</a> 28-876)",Laws and Regulations
MO,Alternative Fuel Vehicle (AFV) Emissions Inspection Exemption,"Vehicles powered exclusively by electricity, including low-speed vehicles, hydrogen, or fuels other than gasoline that are exempt from motor vehicle emissions inspection under federal regulation, are exempt from state emissions inspection requirements. (Reference <a href=""https://revisor.mo.gov/main/Home.aspx"">Missouri Revised Statutes</a> 643.315)",State Incentives
MO,Alternative Fuel Vehicle (AFV) Decal,"The state motor fuel tax does not apply to passenger vehicles, certain buses, or commercial vehicles that are powered by an alternative fuel, if the vehicles obtain an AFV decal. Owners or operators of such vehicles that also own or operate a personal fueling station must pay an annual alternative fuel decal fee, as listed below. Alternative fuel motor vehicles licensed as historic vehicles are exempt from the alternative fuel decal requirement. </p><p><div align=""left""><table class=""table table-bordered""><th align=""left"">Gross Vehicle Weight (GVW)</th><th align=""left"">Type of Vehicle</th><th align=""left"">Decal Fee</th></tr><tr><td>18,000 pounds (lbs.) or less</td><td>Passenger, School Bus, or Commercial</td><td>$75</td></tr><tr><td>18,001 lbs.-36,000 lbs.</td><td>Farm or Farming Transportation with an 'F' License Plate</td><td>$100</td></tr><tr><td>18,001 lbs.-36,000 lbs.</td><td>Passenger-Carrying and Other Motor Vehicles</td><td>$150</td></tr><tr><td>36,000 lbs. or more</td><td>Farm or Farming Transportation with an 'F' License Plate</td><td>$250</td></tr><tr><td>36,000 lbs. or more</td><td>All Other Motor Vehicles</td><td>$1,000</td></tr></table></div><p></p>Model year 2018 and later plug-in hybrid electric vehicles have a decal fee of one-half of the annual decal fees listed above for their corresponding vehicle type and GVW.<p></p>Owners and operators of passenger motor vehicles, buses, or commercial motor vehicles that are powered by compressed natural gas (CNG), liquefied natural gas (LNG), or liquefied petroleum gas (propane), may continue to apply for and use the alternative fuel decal in lieu of paying the CNG, LNG, and/or propane tax, as long as the owner/operator has installed a fueling station used solely to fuel his or her vehicle(s). If an owner or operator of a motor vehicle powered by propane that bears an alternative fuel decal refuels at an unattended propane fueling station, such owner or operator shall not be eligible for a refund of the motor fuel tax paid at the time of refueling. For more information, see the Missouri Department of Revenue <a href=""http://dor.mo.gov/motorv/decals.php"">Special Fuel Decals</a> page.<p></p><p></p>(Reference <a href=""https://revisor.mo.gov/main/Home.aspx"">Missouri Revised Statutes</a> 142.803 and 142.869)",Laws and Regulations
ME,Provision for Establishment of Clean Fuel Vehicle Insurance Incentives,"An insurer may credit or refund any portion of the premium charged for an insurance policy on a clean fuel vehicle in order to encourage its policyholders to use clean fuel vehicles, as long as insurance premiums on other vehicles are not increased to fund these credits or refunds. Clean fuels include, but are not limited to, natural gas, propane, hydrogen, alcohol fuels containing not less than 85% alcohol by volume, and electricity. (Reference <a href=""http://legislature.maine.gov/"">House Paper</a> 779, 2019, and <a href=""http://www.mainelegislature.org/legis/statutes/"">Maine Revised Statutes</a> Title 24-A, Section 2303-B)",Laws and Regulations
NJ,Zero Emissions Vehicle (ZEV) Tax Exemption,"ZEVs sold, rented, or leased in New Jersey are exempt from state sales and use tax. This exemption does not apply to partial ZEVs, including hybrid electric vehicles. ZEVs are defined as vehicles that meet California Air Resources Board zero emission standards for that model year. For a list of qualified ZEV, see the New Jersey Department of the Treasury <a href=""http://www.state.nj.us/treasury/taxation/zevnotice.shtml"">ZEV Sales Tax Exemption</a> website. (Reference <a href=""http://www.njleg.state.nj.us/"">New Jersey Statutes</a> 54:32B-8.55)",State Incentives
PA,Alternative Fuel Vehicle (AFV) Rebate,"The AFV Program offers rebates to assist eligible residents with the incremental cost of the purchase or lease of new AFVs, including all-electric vehicles (EVs), plug-in hybrid electric vehicles (PHEVs), hydrogen fuel cell electric vehicles (FCEVs), compressed natural gas (CNG) vehicles, electric motorcycles, and propane vehicles. Eligible FCEVs must have a total purchase price not exceeding $75,000, and all other eligible AFVs must have a total purchase price not exceeding $50,000. Beginning March 1, 2020, rebates are available in the following amounts: 

</p><p><center><table class=""table table-bordered""><tr><th>Vehicle Type</th><th>Rebate Amount</th></tr>
<tr><td>FCEV</td><td>$1,000</td></tr>
<tr><td>EV</td><td>$750</td></tr>
<tr><td>CNG, PHEV, Propane, and Electric Motorcycle</td><td>$500</td></tr></table></center></p>

<p>An additional rebate of $1,000 is available for all vehicles if an applicant meets the <a href=""https://aspe.hhs.gov/poverty-guidelines"">low-income requirement</a>, as defined by the U.S. Department of Health and Human Services. Applications much be received within six months of vehicle purchase. Rebates will be awarded on a first-come, first-served basis. For more information, including forms and detailed requirements and restrictions, see the <a href=""http://www.dep.pa.gov/Citizens/GrantsLoansRebates/Alternative-Fuels-Incentive-Grant/Pages/Alternative-Fuel-Vehicles.aspx#.Vl9K83arSUk"">AFV Rebates</a> website.</p><p>(Reference Title 73 <a href=""http://government.westlaw.com/linkedslice/default.asp?SP=pac-1000"">Pennsylvania Statutes</a>, Chapter 18E, Section 1647.3)",State Incentives
AR,Alternative Fuel Vehicle Conversion Notification,"Any individual or company who converts a vehicle to operate on an alternative fuel must report the conversion to the Arkansas Department of Finance and Administration (DFA) within 10 days of the conversion. An owner or operator who fails to report such a conversion may be subject to a penalty. For more information, including reporting forms, see the <a href=""https://www.dfa.arkansas.gov/excise-tax/motor-fuel-tax/motor-fuel-tax-forms/"">DFA</a> website. (Reference <a href=""http://www.lexisnexis.com/hottopics/arcode/Default.asp"">Arkansas Code</a> 26-56-315 and 26-62-214)",Laws and Regulations
AZ,Alternative Fuel Vehicle (AFV) Special License Plate,"The Arizona Department of Transportation (ADOT) must issue a special license plate to dedicated AFVs. Dedicated AFVs are defined as vehicles powered exclusively by propane, compressed natural gas, electricity, or hydrogen. There is no limit to the number of AFV license plates ADOT can issue. The Arizona Department of Environmental Quality (ADEQ) must inspect vehicles converted to operate solely on alternative fuel and issue an Alternative Fuel Certificate before converted vehicles may receive the AFV special plate. State or agency directors who conduct activities of a confidential nature and use AFVs are exempt from the requirement to display an AFV special license plate. For more information, see the ADOT <a href=""https://azdot.gov/motor-vehicles/vehicle-services/vehicle-registration/alternative-fuel-vehicle"">AFV</a> and ADEQ <a href=""http://www.azdeq.gov/EmissionsTest"">Vehicle Emissions Testing</a> website. </p>(Reference <a href=""https://www.azleg.gov/arstitle/"">Arizona Revised Statutes</a> 28-2416)",Laws and Regulations
AZ,Alternative Fuel and Alternative Fuel Vehicle (AFV) Use Tax Exemption,"Arizona use taxes do not apply to natural gas or propane used in an AFV, AFVs converted to operate on alternative fuels, or the equipment used to convert a diesel vehicle to an AFV. Recognized alternative fuels include propane, natural gas, electricity, hydrogen, and a blend of hydrogen with propane or natural gas. (Reference <a href=""http://www.azleg.gov/ArizonaRevisedStatutes.asp"">Arizona Revised Statutes</a> 42-5159)",State Incentives
CO,Alternative Fuel Vehicle (AFV) Registration,"Upon registering a motor vehicle with the Colorado Department of Revenue Division of Motor Vehicles, the vehicle owner must report the type of alternative fuel used to operate the vehicle and whether the vehicle is dedicated to one alternative fuel or uses more than one fuel. The Department of Revenue provides forms for the purpose of registering motor vehicles and must include space for the following fuel types: gasoline, diesel, propane, electricity, natural gas, methanol/M85, ethanol/E85, biodiesel, and other. For more information, see the <a href=""http://www.colorado.gov/revenue/dmv"">Colorado Department of Revenue Division of Motor Vehicles</a> page. (Reference <a href=""http://www.lexisnexis.com/hottopics/Colorado/"">Colorado Revised Statutes</a> 42-3-113)",Laws and Regulations
DC,Plug-In Electric Vehicle (PEV) Title Excise Tax Exemption,"Qualified PEVs are exempt from the excise tax imposed on an original certificate of title. The original purchaser and subsequent purchasers of the same vehicle are eligible for the excise tax exemption. The District of Columbia Department of Motor Vehicles (DMV) determines which PEVs qualify. For more information, see the District of Columbia <a href=""https://dmv.dc.gov/node/155352"">Department of Motor Vehicles</a> website. (Reference <a href=""http://dccouncil.us/"">Bill</a> 22-0904, 2018, and <a href=""https://code.dccouncil.us/dc/council/code/"">District of Columbia Code</a> 50-2201.03(j))",State Incentives
RI,Alternative Fuel Vehicle (AFV) Tax Exemption Authorization - Warren,"The town of Warren may allow excise tax exemptions of up to $100 for qualified AFVs registered in Warren. Qualified vehicles must be primarily fueled with one of the following: an electric motor drawing current from rechargeable batteries or fuel cells; gas produced from biomass, where biomass is defined as any organic material other than oil, natural gas, and coal; liquid, gaseous or solid synthetic fuels produced from coal; or coke or coke gas. (Reference <a href=""http://webserver.rilin.state.ri.us/Statutes/"">Rhode Island General Laws</a> 44-34-14)",Laws and Regulations
CA,Plug-In Electric Vehicle (PEV) Charging Rate Reduction - LADWP,"The Los Angeles Department of Water and Power (LADWP) offers a $0.025 per kilowatt-hour discount for electricity used to charge PEVs during off-peak times. Residential customers who install a separate time-of-use meter panel will also receive a $250 credit. For more information, see the LADWP <a href=""https://www.ladwp.com/ladwp/faces/wcnav_externalId/r-gg-EVincentives?_adf.ctrl-state=il6iu2y7z_34&_afrLoop=203033140060675&_afrWindowMode=0&_afrWindowId=kfolzdw9d_1#%40%3F_afrWindowId%3Dkfolzdw9d_1%26_afrLoop%3D203033140060675%26_afrWindowMode%3D0%26_adf.ctrl-state%3Dkfolzdw9d_25"">Electric Vehicle Incentives</a> website.",Utility/Private Incentives
CA,Plug-In Electric Vehicle (PEV) Charging Rate Reduction - SCE,"Southern California Edison (SCE) offers a discounted rate to customers for electricity used to charge PEVs. Two rate schedules are available for PEV charging during on- and off-peak hours. For more information, see the SCE <a href=""https://www.sce.com/residential/rates/electric-vehicle-plans"">Electric Vehicle Plans</a> website.",Utility/Private Incentives
NJ,High Occupancy Vehicle (HOV) Lane Exemption,"New Jersey Turnpike Authority (Authority) allows qualified plug-in electric vehicles to travel in the HOV lanes located between Interchange 11 and Interchange 14 on the New Jersey Turnpike. For more information, see the Authority <a href=""http://www.state.nj.us/turnpike/toll-rates.html"">Toll Rates</a> website. (Reference 49 <a href=""http://www.state.nj.us/oal/rules/accessp/"">New Jersey Register</a> 3236(b) and <a href=""http://www.state.nj.us/oal/rules/accessp/"">New Jersey Administrative Code</a> 19:9-1.24)",State Incentives
WI,Alternative Fuel Tax Refund for Taxis,"A person using alternative fuel to operate a taxi used to transport passengers may be reimbursed for the paid amount of the Wisconsin state fuel tax. Refund claims must be filed within one year of the fuel purchase date and must be for a minimum of 100 gallons of alternative fuel. (Reference <a href=""http://legis.wisconsin.gov/rsb/stats.html"">Wisconsin Statutes</a> 78.75(1m)(a)(1) and 78.75(1m)(b))",State Incentives
WA,Plug-In Electric Vehicle (PEV) Charging Infrastructure Availability,"Publicly and privately owned PEVs may charge at state office locations if the vehicles are used for state business, conducting business with the state, or as commuter vehicles. Additionally, contingent upon funding, the state must install electrical outlets suitable for charging PEVs in each of the state's fleet parking and maintenance facilities as well as every state-operated highway rest stop. The Washington Department of Enterprise Services may report to the governor and the legislature on the amount of electricity consumed and the number of PEVs using state-owned charging equipment if it represents a significant cost to the state. (Reference <a href=""http://apps.leg.wa.gov/rcw/"" target=""_blank"">Revised Code of Washington</a> 43.01.250, 43.19.648, and 47.38.075)",Laws and Regulations
